iteration,u_l2,u_max,u_mean,v_l2,v_max,v_mean
500,0.049156514459387395,0.09666330396545386,0.03789852471249116,0.05899675141537567,0.12805300795023664,0.047529295648767865
1000,0.04640530206499704,0.09980626084579236,0.03528859406744057,0.051447533039284746,0.11371983707776911,0.04086746800416424
1500,0.04453497411453631,0.09119413893164086,0.03418095509209615,0.04687400746212175,0.09393501146394184,0.03799267704389533
2000,0.045855806763546454,0.09624455881954691,0.035873612433270294,0.04657007475273152,0.09815119882202197,0.03761733182609703
2500,0.04962650891398777,0.10882548940929854,0.03948238897488452,0.04689675890336541,0.09765137971647558,0.038401892413848004
3000,0.04981427217893367,0.10209968866944252,0.04099821585587579,0.04715841920834226,0.09802803513949787,0.03886614989069412
3500,0.04771179412891545,0.08126859944253262,0.040778559592693976,0.04556096811398323,0.09689922322917924,0.03768966388578596
4000,0.0455300639074442,0.07261648004176818,0.039329833971453926,0.042558321702627105,0.08988513823458913,0.03560041873706634
4500,0.04313963592906061,0.07564930303212025,0.03718027358132423,0.03816465292970341,0.07899889370709917,0.03167558445154764
5000,0.04124621991366097,0.08049336862313233,0.035173898748824026,0.03267180666149243,0.0645943889834682,0.027627255706569702
5500,0.0395923301494691,0.08310062405776192,0.033266655982113875,0.028099865420948698,0.047860068024987434,0.025069760929736038
6000,0.037430476787731336,0.08274794597595847,0.030878510055297816,0.02540060050058555,0.037454189898645796,0.023121852214113066
